model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_mean,roc_auc_std
bagging_rf,0.7918,0.1335,0.6094,0.0411,0.8288,0.0864,0.6484,0.0097,0.6422,0.0052,0.8325,0.0157
bagging_xgb,0.8841,0.0135,0.6632,0.0123,0.8878,0.0072,0.6652,0.0145,0.667,0.0035,0.9049,0.018
et,0.3594,0.3405,0.305,0.2488,0.3984,0.3454,0.5094,0.0721,0.4383,0.1477,0.7312,0.0593
gb,0.8757,0.0435,0.6507,0.03,0.8722,0.0446,0.6555,0.0307,0.6492,0.0272,0.9006,0.0132
lr,0.4801,0.2391,0.3688,0.182,0.5058,0.2304,0.5407,0.047,0.4005,0.1668,0.6237,0.1704
rf,0.5905,0.2867,0.496,0.1795,0.6598,0.2576,0.642,0.0166,0.5815,0.1152,0.8314,0.0338
stacking,0.8981,0.0025,0.6318,0.023,0.8871,0.0068,0.6364,0.0314,0.635,0.0181,0.8435,0.0173
voting_hard,0.7798,0.1028,0.6067,0.0412,0.8256,0.059,0.6481,0.0155,0.6277,0.0297,0.0,0.0
voting_soft,0.8716,0.0219,0.6451,0.0276,0.8802,0.0075,0.6499,0.021,0.6502,0.0269,0.8358,0.0296
xgb,0.8933,0.01,0.6604,0.0062,0.8919,0.0023,0.6658,0.0097,0.6626,0.0083,0.9014,0.0138
