number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_max_iter,params_n_estimators,params_n_states,params_reg_alpha,params_reg_lambda,params_subsample,params_tol,state
0,0.0,2025-09-25 12:43:14.137499,2025-09-25 12:43:14.181411,0 days 00:00:00.043912,0.9464704583099741,0.01700037298921102,4,97,319,3,6.011150117432088,7.10991852018085,0.6232334448672797,0.0008471801418819979,COMPLETE
1,0.0,2025-09-25 12:43:14.205236,2025-09-25 12:43:14.239047,0 days 00:00:00.033811,0.8099025726528951,0.01855998084649059,4,98,145,2,4.319450186421157,2.983168487960615,0.7216968971838151,0.002136832907235877,COMPLETE
2,0.0,2025-09-25 12:43:14.254866,2025-09-25 12:43:14.285729,0 days 00:00:00.030863,0.8056937753654446,0.04717052037625178,10,31,215,5,5.924145688620425,0.5598590859279775,0.6798695128633439,1.4742753159914662e-05,COMPLETE
3,0.0,2025-09-25 12:43:14.301467,2025-09-25 12:43:14.336082,0 days 00:00:00.034615,0.6390688456025535,0.26690431824362526,11,33,477,5,6.842330265121569,4.457509688022053,0.7218455076693483,1.8205657658407268e-06,COMPLETE
4,0.0,2025-09-25 12:43:14.353224,2025-09-25 12:43:14.387356,0 days 00:00:00.034132,0.8080272084711243,0.024112898115291985,9,60,460,2,5.4671027934327965,1.9300591097027178,0.7246844304357644,1.3726318898045876e-06,COMPLETE
5,0.0,2025-09-25 12:43:14.404125,2025-09-25 12:43:14.434643,0 days 00:00:00.030518,0.6783931449676581,0.0764136186923332,12,82,453,6,0.45227288910538066,3.3207702745563172,0.6353970008207678,0.005727904470799624,COMPLETE
6,0.0,2025-09-25 12:43:14.450007,2025-09-25 12:43:14.482903,0 days 00:00:00.032896,0.9208787923016158,0.026000059117302653,8,41,210,3,0.7455064367977082,9.870180672345121,0.6563696899899051,0.0020651425578959264,COMPLETE
7,0.0,2025-09-25 12:43:14.500493,2025-09-25 12:43:14.530495,0 days 00:00:00.030002,0.6296178606936361,0.11069143219393454,10,36,417,5,3.5846572854427263,1.2471036892987843,0.9085081386743783,1.0521761868451139e-06,COMPLETE
8,0.0,2025-09-25 12:43:14.546529,2025-09-25 12:43:14.576606,0 days 00:00:00.030077,0.8550229885420852,0.028797752657070342,6,70,78,6,8.872127425763265,4.7749277591032975,0.8918424713352255,2.106648601704221e-05,COMPLETE
9,0.0,2025-09-25 12:43:14.592526,2025-09-25 12:43:14.622781,0 days 00:00:00.030255,0.7710164073434198,0.13766134492174428,7,77,303,2,0.2541912674409519,1.168125127233714,0.8090931317527976,0.0011044350847124699,COMPLETE
10,0.0,2025-09-25 12:43:14.638929,2025-09-25 12:43:14.680142,0 days 00:00:00.041213,0.990455959943198,0.010536588309951599,3,95,345,3,9.469618763901494,7.410214892777707,0.983908298378168,0.0002341302275157636,COMPLETE
