feature,importance
total_asset_turnover,0.019883499
debt_to_equity_ratio,0.016456993
operating_income_ttm,0.015639322
UnrecognizedTaxBenefits,0.0154275475
ResearchAndDevelopmentExpense,0.014998235
days_payable_outstanding,0.014057637
financial_leverage_index,0.013905208
IncomeTaxExpenseBenefit,0.013861613
effective_tax_rate,0.013144789
operatingincomeloss_ytd,0.012908804
NoncashOrPartNoncashAcquisitionValueOfAssetsAcquired1,0.012511669
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0.012383923
non_current_asset_turnover,0.012259332
asset_utilization_ratio,0.011531029
capacity_utilization_proxy,0.011506165
quarterly_operating_leverage,0.011287903
quick_ratio,0.011226522
net_income_yoy_growth,0.011123814
dupont_analysis_roe,0.011090037
revenues_seasonal_index,0.010986492
accrual_ratio,0.010981074
current_ratio,0.010783951
GrossProfit,0.010545678
debt_to_assets_ratio,0.010345731
quarterly_cash_flow_quality,0.010256686
gross_profit_margin,0.009896257
operating_expense_ratio,0.009778248
stock_based_compensation_to_operating_expense_ratio,0.009462415
economic_value_added,0.009449084
cash_return_on_capital_invested,0.009379446
net_income_volatility,0.009296131
AllocatedShareBasedCompensationExpense,0.009278969
capital_expenditure_ratio,0.009228892
net_income_acceleration,0.009197565
net_income_seasonal_index,0.009194323
operating_cash_flow_to_net_income_ratio,0.009128876
open,0.008955313
quarterly_earnings_quality_index,0.00892362
return_on_assets,0.008857308
InvestmentIncomeInterest,0.008835275
netincomeloss_ytd,0.008739256
revenues_yoy_growth,0.008676887
rd_efficiency_ratio,0.008663196
net_income_growth_rate,0.008570296
operating_income_qoq_growth,0.0084855845
close,0.008478153
IncreaseDecreaseInOtherNoncurrentLiabilities,0.008467881
ComprehensiveIncomeNetOfTax,0.0084073655
InterestExpense,0.00835559
revenues_seasonal_dependency,0.008312792
non_operating_items_ratio,0.008275729
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,0.00821581
NoncurrentAssets,0.008201665
upper_barrier,0.008173447
cash_conversion_cycle,0.008136153
entry_price,0.008029545
cash_flow_to_revenue_ratio,0.007996252
warranty_reserve_ratio,0.0079640355
operating_profit_margin,0.007959835
MACD,0.00788188
quarterly_cash_burn_rate,0.007774809
ProductWarrantyAccrualPreexistingIncreaseDecrease,0.007749056
lower_barrier,0.007714966
Histogram,0.0076684663
fixed_asset_turnover,0.007655673
K,0.007579744
revenues_volatility,0.0074948524
revenues_qoq_growth,0.007448972
Volume,0.0074328743
NetCashProvidedByUsedInFinancingActivities,0.0074226814
high,0.00739907
equity_qoq_growth,0.0073985066
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,0.007284298
innovation_investment_ratio,0.0072773867
10 MA Turnover,0.0072422633
compensation_efficiency,0.007170126
quarterly_margin_expansion,0.007102483
Turnover (Cr),0.007057753
accounts_receivable_turnover,0.0070048845
Signal,0.0068480237
Turnover / 10MA (X),0.006818858
D,0.0068095545
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,0.006760049
assets_yoy_growth,0.0067598894
AccountsPayableCurrent,0.006726885
altman_z_score,0.006725539
low,0.0066047353
NetCashProvidedByUsedInOperatingActivities,0.0065188603
StandardProductWarrantyAccrualPayments,0.0064967447
IncreaseDecreaseInAccountsReceivable,0.0064789304
cash_yoy_growth,0.0064265635
return_on_equity,0.0063363276
asset_coverage_ratio,0.0063089533
PaymentsToAcquirePropertyPlantAndEquipment,0.006070578
CashAndCashEquivalentsAtCarryingValue,0.0059715137
quarterly_gross_profit_stability,0.0059216483
net_income_moving_avg,0.0059085134
OtherNonoperatingIncomeExpense,0.005848385
liabilities_qoq_growth,0.005782829
revenue_growth_rate,0.0057760137
CommonStockValue,0.0056469818
revenue_to_expense_growth_differential,0.005533117
equity_yoy_growth,0.00553243
revenues_acceleration,0.005433294
InventoryWriteDown,0.005366542
CostOfRevenue,0.0052776053
rd_to_revenue_ratio,0.005223029
NetCashProvidedByUsedInInvestingActivities,0.0051691765
accounts_payable_turnover,0.005143183
operating_income_yoy_growth,0.0049633463
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,0.0049200244
inventory_turnover,0.0048734522
return_on_invested_capital,0.004677578
InterestCostsCapitalized,0.004293418
OperatingIncomeLoss,0.0041034753
cash_ratio,0.0040075243
interest_coverage_ratio,0.003778456
StandardProductWarrantyAccrual,0.0033110452
working_capital,0.0033091875
net_income_ttm,0.0031663561
AccumulatedOtherComprehensiveIncomeLossNetOfTax,0.0031395566
depreciation_rate,0.00274706
AccountsReceivableNetCurrent,0.0016491372
assets_qoq_growth,0.0
AdditionalPaidInCapitalCommonStock,0.0
operating_margin_trend,0.0
PropertyPlantAndEquipmentNet,0.0
revenues_moving_avg,0.0
liabilities_yoy_growth,0.0
net_income_qoq_growth,0.0
revenues_run_rate,0.0
days_sales_outstanding,0.0
OtherAssetsNoncurrent,0.0
net_income_run_rate,0.0
RetainedEarningsAccumulatedDeficit,0.0
dividend_payout_ratio,0.0
fixed_assets_to_long_term_debt_ratio,0.0
InventoryNet,0.0
Revenues,0.0
PropertyPlantAndEquipmentGross,0.0
asset_growth_rate,0.0
SellingGeneralAndAdministrativeExpense,0.0
PrepaidExpenseAndOtherAssetsCurrent,0.0
ShareBasedCompensation,0.0
net_profit_margin,0.0
Liabilities,0.0
LiabilitiesAndStockholdersEquity,0.0
LiabilitiesCurrent,0.0
revenue_momentum,0.0
