feature,importance
capacity_utilization_proxy,0.01547878
asset_coverage_ratio,0.014487944
NoncurrentAssets,0.01414867
net_income_ttm,0.012739168
altman_z_score,0.012735315
AdditionalPaidInCapitalCommonStock,0.012217528
StandardProductWarrantyAccrualPayments,0.011900966
AssetsCurrent,0.011697649
revenues_ttm,0.0104130395
net_income_seasonal_index,0.0101254415
StandardProductWarrantyAccrual,0.009860256
operating_expense_ratio,0.009620983
total_asset_turnover,0.009592764
accrual_ratio,0.009569358
fixed_asset_turnover,0.009103448
non_current_asset_turnover,0.008948607
InterestCostsCapitalized,0.008942242
StandardProductWarrantyAccrualWarrantiesIssued,0.008900873
return_on_assets,0.008900078
RetainedEarningsAccumulatedDeficit,0.008815308
cash_return_on_capital_invested,0.0087089585
operatingincomeloss_ytd,0.008663096
operating_income_ttm,0.008623017
economic_value_added,0.008617599
innovation_investment_ratio,0.008603121
stock_based_compensation_to_operating_expense_ratio,0.008584757
asset_utilization_ratio,0.008574798
rd_to_revenue_ratio,0.008444443
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,0.008402896
depreciation_rate,0.008366798
equity_qoq_growth,0.008288394
fixed_assets_to_long_term_debt_ratio,0.0081061395
NetCashProvidedByUsedInOperatingActivities,0.008103959
NetCashProvidedByUsedInFinancingActivities,0.007953832
SellingGeneralAndAdministrativeExpense,0.007861012
financial_leverage_index,0.007848337
net_profit_margin,0.007788381
revenues_seasonal_dependency,0.007760131
quarterly_margin_expansion,0.0077461037
accounts_payable_turnover,0.0077299187
quarterly_gross_profit_stability,0.0077126827
equity_yoy_growth,0.00766536
revenue_growth_rate,0.0076016253
quarterly_cash_burn_rate,0.0075968895
revenues_yoy_growth,0.007581103
Revenues,0.0075716516
accounts_receivable_turnover,0.007564531
revenues_acceleration,0.007502252
debt_to_assets_ratio,0.007435631
ComprehensiveIncomeNetOfTax,0.0074260654
PaymentsToAcquirePropertyPlantAndEquipment,0.0073760618
AccountsPayableCurrent,0.007321597
OtherNonoperatingIncomeExpense,0.0072987312
warranty_reserve_ratio,0.007286503
return_on_equity,0.0072809774
operating_income_qoq_growth,0.0072482997
inventory_turnover,0.007228049
IncreaseDecreaseInOtherNoncurrentLiabilities,0.007197421
AccumulatedOtherComprehensiveIncomeLossNetOfTax,0.0071795145
interest_coverage_ratio,0.00712464
compensation_efficiency,0.007112614
quarterly_cash_flow_quality,0.007106068
revenues_volatility,0.007090361
GrossProfit,0.007077846
rd_efficiency_ratio,0.0070767747
operating_cash_flow_to_net_income_ratio,0.007051532
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,0.0070328396
revenues_seasonal_index,0.0069448
AccountsReceivableNetCurrent,0.0069064656
IncreaseDecreaseInAccountsReceivable,0.006890456
effective_tax_rate,0.006886296
operating_income_yoy_growth,0.006844438
quarterly_earnings_quality_index,0.006815829
cash_yoy_growth,0.0067992765
cash_flow_to_revenue_ratio,0.0067632603
ProductWarrantyAccrualPreexistingIncreaseDecrease,0.006711037
sga_to_revenue_ratio,0.00668998
liabilities_qoq_growth,0.006689083
working_capital,0.006644004
OtherAssetsNoncurrent,0.0066396235
InvestmentIncomeInterest,0.0066131684
net_income_acceleration,0.006604596
capital_expenditure_ratio,0.0065873605
CommonStockValue,0.006573406
quarterly_operating_leverage,0.0065347287
OperatingIncomeLoss,0.0065251486
current_ratio,0.006484498
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,0.006465354
CashAndCashEquivalentsAtCarryingValue,0.0064485874
asset_growth_rate,0.006400211
cash_ratio,0.0063979877
debt_to_equity_ratio,0.006327465
net_income_yoy_growth,0.006301562
non_operating_items_ratio,0.0062494744
NetCashProvidedByUsedInInvestingActivities,0.006214943
low,0.0061906613
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,0.0061676838
upper_barrier,0.006157727
ResearchAndDevelopmentExpense,0.0061536036
IncomeTaxExpenseBenefit,0.0060997503
lower_barrier,0.006095562
quick_ratio,0.006069196
InventoryWriteDown,0.0060604424
assets_yoy_growth,0.006059806
StockholdersEquity,0.00600402
NoncashOrPartNoncashAcquisitionValueOfAssetsAcquired1,0.00599925
MACD,0.0059487037
net_income_growth_rate,0.0059430054
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0.005935637
gross_profit_margin,0.005925094
NetIncomeLoss,0.0058965106
D,0.0058720065
Turnover (Cr),0.0058679064
Signal,0.0058226446
net_income_volatility,0.0057890015
CostOfRevenue,0.0057595605
netincomeloss_ytd,0.005757642
K,0.005750082
revenue_to_expense_growth_differential,0.0056985854
cash_conversion_cycle,0.0056679286
operating_profit_margin,0.0056653884
10 MA Turnover,0.0056624883
open,0.005641028
high,0.005638811
Histogram,0.0055961707
OperatingExpenses,0.005533998
Turnover / 10MA (X),0.0054678586
UnrecognizedTaxBenefits,0.0054351822
Volume,0.0054316972
AllocatedShareBasedCompensationExpense,0.0052468795
cash_qoq_growth,0.0052048014
entry_price,0.005153655
return_on_invested_capital,0.00494503
liabilities_yoy_growth,0.0048950273
InterestExpense,0.004402439
EmployeeRelatedLiabilitiesCurrent,0.0029263608
Assets,0.0027864138
close,0.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,0.0
InventoryNet,0.0
TaxesPayableCurrent,0.0
days_payable_outstanding,0.0
days_inventory_outstanding,0.0
OtherLiabilitiesNoncurrent,0.0
Liabilities,0.0
LiabilitiesAndStockholdersEquity,0.0
LiabilitiesCurrent,0.0
PropertyPlantAndEquipmentNet,0.0
PropertyPlantAndEquipmentGross,0.0
PrepaidExpenseAndOtherAssetsCurrent,0.0
ShareBasedCompensation,0.0
days_sales_outstanding,0.0
revenues_qoq_growth,0.0
earnings_momentum,0.0
dupont_analysis_roe,0.0
dividend_payout_ratio,0.0
revenue_momentum,0.0
net_income_qoq_growth,0.0
revenues_moving_avg,0.0
assets_ttm,0.0
assets_qoq_growth,0.0
net_income_moving_avg,0.0
net_income_run_rate,0.0
revenues_run_rate,0.0
revenues_ytd,0.0
long_term_revenue_cagr,0.0
operating_margin_trend,0.0
