feature,importance
Liabilities,0.016520744
non_current_asset_turnover,0.00881723
net_income_run_rate,0.008690975
liabilities_qoq_growth,0.008618133
revenues_yoy_growth,0.00818985
return_on_assets,0.008152103
total_asset_turnover,0.008142613
sga_to_revenue_ratio,0.007930953
asset_utilization_ratio,0.007900758
StandardProductWarrantyAccrual,0.007896844
return_on_invested_capital,0.007883358
CommonStockValue,0.007851538
accrual_ratio,0.0076902695
altman_z_score,0.007683541
rd_efficiency_ratio,0.0075642546
quick_ratio,0.007553547
net_income_moving_avg,0.0075286753
PaymentsToAcquirePropertyPlantAndEquipment,0.007328208
CashAndCashEquivalentsAtCarryingValue,0.0073192394
NetIncomeLoss,0.007299538
NetCashProvidedByUsedInFinancingActivities,0.0072929263
GrossProfit,0.0072391974
PropertyPlantAndEquipmentNet,0.007222131
ResearchAndDevelopmentExpense,0.0071090357
accounts_receivable_turnover,0.0070926207
RetainedEarningsAccumulatedDeficit,0.0070505706
entry_price,0.007043221
OperatingExpenses,0.007030709
operating_income_yoy_growth,0.0070259254
operating_income_qoq_growth,0.0070081814
upper_barrier,0.0069529777
operating_expense_ratio,0.0069116945
compensation_efficiency,0.0068797115
operating_income_ttm,0.0068688984
cash_yoy_growth,0.00686884
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,0.0068470095
CostOfRevenue,0.0068459013
current_ratio,0.0067804973
depreciation_rate,0.006753182
TaxesPayableCurrent,0.006753112
lower_barrier,0.0067261374
OtherLiabilitiesNoncurrent,0.006696831
NetCashProvidedByUsedInOperatingActivities,0.0066844975
10 MA Turnover,0.0066728354
IncreaseDecreaseInAccountsReceivable,0.006654469
AccountsPayableCurrent,0.0066530476
NoncurrentAssets,0.0066463007
Assets,0.006642405
UnrecognizedTaxBenefits,0.006640527
PrepaidExpenseAndOtherAssetsCurrent,0.0066229287
net_income_ttm,0.00660162
IncreaseDecreaseInOtherNoncurrentLiabilities,0.0065950877
open,0.006589451
net_income_seasonal_index,0.006580089
OtherNonoperatingIncomeExpense,0.006579359
AllocatedShareBasedCompensationExpense,0.0065727667
innovation_investment_ratio,0.006571229
days_sales_outstanding,0.0065709287
fixed_asset_turnover,0.006570474
low,0.0065645576
cash_ratio,0.0065241163
ComprehensiveIncomeNetOfTax,0.00652185
NetCashProvidedByUsedInInvestingActivities,0.0065045226
Turnover (Cr),0.0064984406
high,0.006498259
fixed_assets_to_long_term_debt_ratio,0.006486724
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,0.006482169
net_profit_margin,0.006418171
rd_to_revenue_ratio,0.0064033302
InterestExpense,0.0064025647
IncomeTaxExpenseBenefit,0.006402022
revenues_seasonal_dependency,0.0064008986
Signal,0.0063789277
non_operating_items_ratio,0.006352887
quarterly_cash_flow_quality,0.006326987
interest_coverage_ratio,0.006326295
MACD,0.0062629026
OperatingIncomeLoss,0.006262431
net_income_qoq_growth,0.006239856
revenue_to_expense_growth_differential,0.006223829
quarterly_margin_expansion,0.0062085125
working_capital,0.0061799707
accounts_payable_turnover,0.006176503
close,0.006175508
revenues_volatility,0.0061736717
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,0.00616427
Revenues,0.0061577996
K,0.006130541
Histogram,0.0060963016
Turnover / 10MA (X),0.0060888454
NoncashOrPartNoncashAcquisitionValueOfAssetsAcquired1,0.0060864007
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0.0060784863
inventory_turnover,0.0060781487
net_income_yoy_growth,0.006072794
asset_growth_rate,0.0060682604
quarterly_gross_profit_stability,0.006047266
quarterly_earnings_quality_index,0.006044791
StandardProductWarrantyAccrualWarrantiesIssued,0.006031999
net_income_growth_rate,0.006023485
gross_profit_margin,0.006008812
days_payable_outstanding,0.006002054
InterestCostsCapitalized,0.0059668394
ProductWarrantyAccrualPreexistingIncreaseDecrease,0.0059446674
revenues_seasonal_index,0.0059382995
StockholdersEquity,0.0059334035
liabilities_yoy_growth,0.0059176856
D,0.005917259
warranty_reserve_ratio,0.0059170797
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,0.0059027527
debt_to_assets_ratio,0.0058775325
revenues_acceleration,0.0058764857
AccumulatedOtherComprehensiveIncomeLossNetOfTax,0.0058737667
debt_to_equity_ratio,0.005867377
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,0.005856692
cash_return_on_capital_invested,0.005854926
effective_tax_rate,0.0058359457
capacity_utilization_proxy,0.005821448
quarterly_operating_leverage,0.005809354
operating_cash_flow_to_net_income_ratio,0.005809286
InventoryWriteDown,0.0057754964
ShareBasedCompensation,0.005769817
netincomeloss_ytd,0.0057593044
economic_value_added,0.005725399
operating_profit_margin,0.0057138954
AssetsCurrent,0.00569569
cash_conversion_cycle,0.005687061
Volume,0.005682541
return_on_equity,0.005679257
equity_qoq_growth,0.0056308107
net_income_volatility,0.005627826
AccountsReceivableNetCurrent,0.0056154677
assets_yoy_growth,0.0055955676
dupont_analysis_roe,0.0055743447
asset_coverage_ratio,0.0055406247
net_income_acceleration,0.0055323136
capital_expenditure_ratio,0.005512757
cash_qoq_growth,0.005484682
cash_flow_to_revenue_ratio,0.0054808995
days_inventory_outstanding,0.0054783807
operatingincomeloss_ytd,0.0054557635
SellingGeneralAndAdministrativeExpense,0.005448664
revenues_qoq_growth,0.005400093
InvestmentIncomeInterest,0.0053920057
stock_based_compensation_to_operating_expense_ratio,0.00534392
revenue_growth_rate,0.0052738823
financial_leverage_index,0.005240475
equity_yoy_growth,0.0051951883
StandardProductWarrantyAccrualPayments,0.005087755
revenues_ttm,0.005041642
assets_qoq_growth,0.004976361
EmployeeRelatedLiabilitiesCurrent,0.004809437
AdditionalPaidInCapitalCommonStock,0.004776921
revenues_moving_avg,0.0045676604
OtherAssetsNoncurrent,0.0044993223
revenues_ytd,0.0044893823
quarterly_cash_burn_rate,0.004243343
revenues_run_rate,0.0016894029
InventoryNet,0.0
PropertyPlantAndEquipmentGross,0.0
LiabilitiesAndStockholdersEquity,0.0
LiabilitiesCurrent,0.0
dividend_payout_ratio,0.0
revenue_momentum,0.0
earnings_momentum,0.0
assets_ttm,0.0
long_term_revenue_cagr,0.0
operating_margin_trend,0.0
