decision_date,entry_date,end_date,entry_price,end_price,return,upper_barrier,lower_barrier,barrier_touched,value_at_barrier_touched,label
2012-01-03 14:30:00,2012-01-04 14:30:00,2012-01-09 14:30:00,1.871998,1.816665,-0.029558258075062085,1.9851712409682292,1.7588247590317707,lower,1.741332,-1
2012-01-04 14:30:00,2012-01-05 14:30:00,2012-01-11 14:30:00,1.847332,1.881998,0.018765441187615483,1.9590140368314073,1.7356499631685924,time,1.881998,0
2012-01-05 14:30:00,2012-01-06 14:30:00,2012-01-12 14:30:00,1.807998,1.883331,0.04166652839217748,1.917302066203103,1.6986939337968967,time,1.883331,0
2012-01-06 14:30:00,2012-01-09 14:30:00,2012-01-12 14:30:00,1.793998,1.883331,0.04979548472183364,1.9024556842232316,1.685540315776768,upper,1.907998,1
2012-01-09 14:30:00,2012-01-10 14:30:00,2012-01-13 14:30:00,1.816665,1.519331,-0.16367024189930449,1.926493037104499,1.7068369628955007,lower,1.509332,-1
2012-01-10 14:30:00,2012-01-11 14:30:00,2012-01-13 14:30:00,1.841331,1.519331,-0.1748735018310125,1.9526502412413211,1.7300117587586787,lower,1.509332,-1
2012-01-11 14:30:00,2012-01-12 14:30:00,2012-01-13 14:30:00,1.881998,1.519331,-0.19270318034344355,1.9957757995252803,1.7682202004747196,lower,1.509332,-1
2012-01-12 14:30:00,2012-01-13 14:30:00,2012-01-13 14:30:00,1.883331,1.519331,-0.19327457573841247,1.9971893871809352,1.7694726128190648,lower,1.509332,-1
2012-01-13 14:30:00,2012-01-17 14:30:00,2012-01-17 14:30:00,1.519331,1.773332,0.167179502030828,1.61118345570428,1.4274785442957199,upper,1.822665,1
2012-01-17 14:30:00,2012-01-18 14:30:00,2012-01-24 14:30:00,1.773332,1.827998,0.0308267149073045,1.88054030350923,1.6661236964907695,time,1.827998,0
2012-01-18 14:30:00,2012-01-19 14:30:00,2012-01-25 14:30:00,1.787332,1.864665,0.043267283302710464,1.8953866854891015,1.6792773145108981,time,1.864665,0
2012-01-19 14:30:00,2012-01-20 14:30:00,2012-01-26 14:30:00,1.783998,1.929331,0.08146477742688049,1.8918511256661807,1.676144874333819,upper,1.971998,1
2012-01-20 14:30:00,2012-01-23 14:30:00,2012-01-26 14:30:00,1.773332,1.929331,0.087969427044682,1.88054030350923,1.6661236964907695,upper,1.971998,1
2012-01-23 14:30:00,2012-01-24 14:30:00,2012-01-26 14:30:00,1.784665,1.929331,0.0810605912033911,1.8925584497219359,1.6767715502780638,upper,1.971998,1
2012-01-24 14:30:00,2012-01-25 14:30:00,2012-01-26 14:30:00,1.827998,1.929331,0.05543386808957115,1.938511183317205,1.7174848166827947,upper,1.971998,1
2012-01-25 14:30:00,2012-01-26 14:30:00,2012-01-27 14:30:00,1.864665,1.955331,0.048623211139802544,1.9773949181783437,1.7519350818216561,upper,1.981331,1
2012-01-26 14:30:00,2012-01-27 14:30:00,2012-02-02 14:30:00,1.929331,2.016665,0.0452664680140423,2.0459703565433696,1.8126916434566303,upper,2.058665,1
2012-01-27 14:30:00,2012-01-30 14:30:00,2012-02-03 14:30:00,1.955331,2.076664,0.0620524095408911,2.073542208791702,1.8371197912082977,upper,2.088665,1
2012-01-30 14:30:00,2012-01-31 14:30:00,2012-02-06 14:30:00,1.971332,2.119998,0.07541398404733436,2.090510562938839,1.8521534370611605,upper,2.126664,1
2012-01-31 14:30:00,2012-02-01 14:30:00,2012-02-02 14:30:00,1.937999,2.016665,0.040591352214320094,2.055162387900621,1.8208356120993785,upper,2.058665,1
2012-02-01 14:30:00,2012-02-02 14:30:00,2012-02-06 14:30:00,1.971998,2.119998,0.07505078605556391,2.091360931795372,1.8526350682046282,upper,2.126664,1
2012-02-02 14:30:00,2012-02-03 14:30:00,2012-02-09 14:30:00,2.016665,2.171998,0.07702469175594345,2.1386950589758515,1.8946349410241485,upper,2.19333,1
2012-02-03 14:30:00,2012-02-06 14:30:00,2012-02-10 14:30:00,2.076664,2.073332,-0.0016044964423709807,2.2020236742158037,1.9513043257841964,time,2.073332,0
2012-02-06 14:30:00,2012-02-07 14:30:00,2012-02-10 14:30:00,2.119998,2.073332,-0.02201228491724976,2.2478190784319403,1.992176921568059,lower,1.989331,-1
2012-02-07 14:30:00,2012-02-08 14:30:00,2012-02-14 14:30:00,2.106665,2.211331,0.04968326715448347,2.233909959821053,1.979420040178947,upper,2.252664,1
2012-02-08 14:30:00,2012-02-09 14:30:00,2012-02-10 14:30:00,2.128664,2.073332,-0.025993768861595788,2.257221220696447,2.0001067793035534,lower,1.989331,-1
2012-02-09 14:30:00,2012-02-10 14:30:00,2012-02-10 14:30:00,2.171998,2.073332,-0.04542637700403025,2.303132485755755,2.040863514244245,lower,1.989331,-1
2012-02-10 14:30:00,2012-02-13 14:30:00,2012-02-14 14:30:00,2.073332,2.211331,0.06655904601867899,2.201003967572186,1.9456600324278142,upper,2.252664,1
2012-02-13 14:30:00,2012-02-14 14:30:00,2012-02-14 14:30:00,2.099332,2.211331,0.05334982746892819,2.182711424595281,2.0159525754047194,upper,2.252664,1
2012-02-14 14:30:00,2012-02-15 14:30:00,2012-02-15 14:30:00,2.211331,2.239998,0.012963685671661094,2.256958690368741,2.165703309631259,lower,2.151331,-1
2012-02-15 14:30:00,2012-02-16 14:30:00,2012-02-16 14:30:00,2.239998,2.278664,0.01726162255502018,2.2861882966001263,2.1938077033998735,lower,2.16933,-1
2012-02-16 14:30:00,2012-02-17 14:30:00,2012-02-17 14:30:00,2.278664,2.331331,0.023113104871977624,2.325167061031858,2.232160938968142,upper,2.331331,1
2012-02-17 14:30:00,2012-02-21 14:30:00,2012-02-21 14:30:00,2.331331,2.299998,-0.013439961978800975,2.378084952162978,2.284577047837022,lower,2.253998,-1
2012-02-21 14:30:00,2012-02-22 14:30:00,2012-02-22 14:30:00,2.299998,2.281331,-0.008116094013994693,2.3481147018846062,2.2518812981153937,lower,2.166665,-1
2012-02-22 14:30:00,2012-02-23 14:30:00,2012-02-23 14:30:00,2.281331,2.301998,0.00905918518619174,2.3298099686118383,2.232852031388162,upper,2.331331,1
2012-02-23 14:30:00,2012-02-24 14:30:00,2012-02-24 14:30:00,2.301998,2.249998,-0.022589072622999692,2.35069736089153,2.2532986391084706,lower,2.217998,-1
2012-02-24 14:30:00,2012-02-27 14:30:00,2012-02-27 14:30:00,2.249998,2.241331,-0.0038520034240030346,2.2986518093071147,2.2013441906928852,lower,2.199998,-1
2012-02-27 14:30:00,2012-02-28 14:30:00,2012-02-28 14:30:00,2.241331,2.253998,0.005651552581925643,2.2900514140640302,2.19261058593597,upper,2.295998,1
2012-02-28 14:30:00,2012-02-29 14:30:00,2012-03-06 14:30:00,2.253998,2.207331,-0.020704100003638082,2.302995036656451,2.2050009633435494,lower,2.174664,-1
2012-02-29 14:30:00,2012-03-01 14:30:00,2012-03-01 14:30:00,2.227331,2.293998,0.029931339347407392,2.2751575412289755,2.1795044587710244,upper,2.299998,1
2012-03-01 14:30:00,2012-03-02 14:30:00,2012-03-05 14:30:00,2.293998,2.251331,-0.01859940592799132,2.344373692095342,2.2436223079046584,lower,2.230665,-1
2012-03-02 14:30:00,2012-03-05 14:30:00,2012-03-06 14:30:00,2.26933,2.207331,-0.02732039853172528,2.3193518634705232,2.219308136529477,lower,2.174664,-1
2012-03-05 14:30:00,2012-03-06 14:30:00,2012-03-06 14:30:00,2.251331,2.207331,-0.01954399419721047,2.2997872023610726,2.2028747976389274,lower,2.174664,-1
2012-03-06 14:30:00,2012-03-07 14:30:00,2012-03-09 14:30:00,2.207331,2.315998,0.049230042979507865,2.2554025783152967,2.159259421684703,upper,2.353998,1
2012-03-07 14:30:00,2012-03-08 14:30:00,2012-03-09 14:30:00,2.207998,2.315998,0.04891308778359405,2.25589368653271,2.1601023134672896,upper,2.353998,1
2012-03-08 14:30:00,2012-03-09 14:30:00,2012-03-09 14:30:00,2.204665,2.315998,0.05049882862022127,2.2523481103314595,2.15698188966854,upper,2.353998,1
2012-03-09 14:30:00,2012-03-12 13:30:00,2012-03-12 13:30:00,2.315998,2.400664,0.036557026387760226,2.3713656231872258,2.2606303768127742,upper,2.41933,1
2012-03-12 13:30:00,2012-03-13 13:30:00,2012-03-14 13:30:00,2.400664,2.352664,-0.019994468197132145,2.453560457045928,2.3477675429540716,lower,2.319998,-1
2012-03-13 13:30:00,2012-03-14 13:30:00,2012-03-14 13:30:00,2.405998,2.352664,-0.022167100720781978,2.4590086725712146,2.3529873274287847,lower,2.319998,-1
2012-03-14 13:30:00,2012-03-15 13:30:00,2012-03-19 13:30:00,2.352664,2.331998,-0.008784084765185276,2.3998742547729623,2.3054537452270374,lower,2.302664,-1
2012-03-15 13:30:00,2012-03-16 13:30:00,2012-03-16 13:30:00,2.333331,2.354665,0.009143152000294842,2.380203666974354,2.286458333025646,upper,2.392664,1
2012-03-16 13:30:00,2012-03-19 13:30:00,2012-03-19 13:30:00,2.354665,2.331998,-0.009626422442258144,2.4014032799198004,2.3079267200801987,lower,2.302664,-1
