Date,Probability
2020-03-17,0.6755502
2020-03-18,0.67637676
2020-03-19,0.6712957
2020-03-20,0.6777125
2020-03-23,0.6890344
2020-03-24,0.6885551
2020-03-25,0.70043874
2020-03-26,0.71017927
2020-03-27,0.7162345
2020-03-30,0.72058564
2020-03-31,0.71578753
2020-04-01,0.7230927
2020-04-02,0.71608853
2020-04-03,0.71359366
2020-04-06,0.72246224
2020-04-07,0.7191083
2020-04-08,0.7292777
2020-04-09,0.731652
2020-04-13,0.7294974
2020-04-14,0.7330006
2020-04-15,0.7352535
2020-04-16,0.730434
2020-04-17,0.72486126
2020-04-20,0.71416867
2020-04-21,0.69709444
2020-04-22,0.6810181
2020-04-23,0.6620993
2020-04-24,0.642593
2020-04-27,0.63584787
2020-04-28,0.6330711
2020-04-29,0.6423227
2020-04-30,0.6144851
2020-05-01,0.5897441
2020-05-04,0.58506006
2020-05-05,0.5918649
2020-05-06,0.6098944
2020-05-07,0.6241104
2020-05-08,0.6483296
2020-05-11,0.65777755
2020-05-12,0.665288
2020-05-13,0.63903195
2020-05-14,0.61548454
2020-05-15,0.60983723
2020-05-18,0.62386894
2020-05-19,0.62065136
2020-05-20,0.6272598
2020-05-21,0.6419025
2020-05-22,0.63669086
2020-05-26,0.64051354
2020-05-27,0.65535325
2020-05-28,0.6200076
2020-05-29,0.6518866
2020-06-01,0.70257205
2020-06-02,0.7156165
2020-06-03,0.7293567
2020-06-04,0.7310566
2020-06-05,0.7344315
2020-06-08,0.7239139
2020-06-09,0.73367685
2020-06-10,0.73129445
2020-06-11,0.732964
2020-06-12,0.71377414
2020-06-15,0.6878717
2020-06-16,0.6620217
2020-06-17,0.6476035
2020-06-18,0.63822794
2020-06-19,0.62571234
2020-06-22,0.6229418
2020-06-23,0.62421834
2020-06-24,0.6592106
2020-06-25,0.6917217
2020-06-26,0.69541675
2020-06-29,0.67573595
2020-06-30,0.62982875
2020-07-01,0.7164174
2020-07-02,0.7275106
2020-07-06,0.7331708
2020-07-07,0.7356467
2020-07-08,0.73386145
2020-07-09,0.7283139
2020-07-10,0.7233112
2020-07-13,0.71411
2020-07-14,0.6970608
2020-07-15,0.67784613
2020-07-16,0.6728725
2020-07-17,0.654886
2020-07-20,0.6426476
2020-07-21,0.6332848
2020-07-22,0.62338066
2020-07-23,0.6492153
2020-07-24,0.70575774
2020-07-27,0.7437872
2020-07-28,0.75211716
2020-07-29,0.74827015
2020-07-30,0.72748244
2020-07-31,0.6874023
2020-08-03,0.6497602
2020-08-04,0.6438334
2020-08-05,0.6676769
2020-08-06,0.6797548
2020-08-07,0.6726091
2020-08-10,0.67472816
2020-08-11,0.6750859
2020-08-12,0.688263
2020-08-13,0.7009051
2020-08-14,0.71370786
2020-08-17,0.71318364
2020-08-18,0.72478026
2020-08-19,0.7336358
2020-08-20,0.733147
2020-08-21,0.73221993
2020-08-24,0.7221085
2020-08-25,0.70814
2020-08-26,0.6966805
2020-08-27,0.68641156
2020-08-28,0.6776174
2020-08-31,0.66673553
2020-09-01,0.6508035
2020-09-02,0.62917614
2020-09-03,0.5996765
2020-09-04,0.6279976
2020-09-08,0.7100389
2020-09-09,0.71728176
2020-09-10,0.71867603
2020-09-11,0.71034676
2020-09-14,0.6594861
2020-09-15,0.6235759
2020-09-16,0.6694579
2020-09-17,0.6869609
2020-09-18,0.70125884
2020-09-21,0.70524424
2020-09-22,0.716095
2020-09-23,0.7153751
2020-09-24,0.71629614
2020-09-25,0.72251606
2020-09-28,0.72501004
2020-09-29,0.7066233
2020-09-30,0.6339279
2020-10-01,0.62700784
2020-10-02,0.6219957
2020-10-05,0.63701004
2020-10-06,0.6643546
2020-10-07,0.68205744
2020-10-08,0.70235467
2020-10-09,0.70881367
2020-10-12,0.7082272
2020-10-13,0.7132803
2020-10-14,0.71300775
2020-10-15,0.7227404
2020-10-16,0.72443694
2020-10-19,0.72292787
2020-10-20,0.72099173
2020-10-21,0.70940113
2020-10-22,0.6971214
2020-10-23,0.6752356
2020-10-26,0.6654808
2020-10-27,0.6598591
2020-10-28,0.63849247
2020-10-29,0.6364591
2020-10-30,0.6410009
2020-11-02,0.65844065
2020-11-03,0.6723808
2020-11-04,0.68692845
2020-11-05,0.6998838
2020-11-06,0.7116151
2020-11-09,0.7067744
2020-11-10,0.7163923
2020-11-11,0.7238525
2020-11-12,0.7221606
2020-11-13,0.7196968
2020-11-16,0.71009916
2020-11-17,0.7055566
2020-11-18,0.718365
2020-11-19,0.7308204
2020-11-20,0.73421484
2020-11-23,0.7313354
2020-11-24,0.7287752
2020-11-25,0.7222156
2020-11-27,0.71620613
2020-11-30,0.7035869
2020-12-01,0.6874424
2020-12-02,0.6749623
2020-12-03,0.653585
2020-12-04,0.6398477
2020-12-07,0.6335764
2020-12-08,0.6249962
2020-12-09,0.60574317
2020-12-10,0.5956268
